date,channel,spend_inr
2023-09-18,facebook,50000
2023-09-18,google_search,75000
2023-09-18,instagram,40000
2023-09-25,facebook,52000
2023-09-25,google_search,78000
2023-09-25,instagram,41000
2023-10-02,facebook,55000
2023-10-02,google_search,82000
2023-10-02,instagram,43000
2023-10-09,facebook,60000
2023-10-09,google_search,90000
2023-10-09,instagram,45000
2023-10-09,influencer,100000
2023-10-16,facebook,65000
2023-10-16,google_search,95000
2023-10-16,instagram,50000
2023-10-23,facebook,70000
2023-10-23,google_search,100000
2023-10-23,instagram,55000
2023-10-30,facebook,72000
2023-10-30,google_search,105000
2023-10-30,instagram,58000
2023-11-06,facebook,75000
2023-11-06,google_search,110000
2023-11-06,instagram,60000
2023-11-06,influencer,150000
2023-11-13,facebook,78000
2023-11-13,google_search,115000
2023-11-13,instagram,62000
2023-11-20,facebook,80000
2023-11-20,google_search,120000
2023-11-20,instagram,65000
