customer_id,order_date,order_value
1,2023-09-19,5578.34
2,2023-09-20,12047.88
3,2023-09-21,8834.12
1,2023-10-15,6750.00
4,2023-10-16,21034.50
2,2023-11-01,15432.10
5,2023-11-02,4302.75
6,2023-11-03,9876.21
1,2023-12-05,4999.99
7,2023-12-06,18750.00
3,2024-01-10,9400.50
8,2024-01-11,7654.32
2,2024-02-20,13200.00
9,2024-02-21,6500.00
1,2024-03-15,7200.00
10,2024-03-16,11234.56
11,2024-04-01,8990.00
4,2024-04-22,19850.25
2,2024-05-10,14500.75
12,2024-05-11,22300.00
1,2024-06-01,6500.00
13,2024-06-02,5432.10
14,2024-07-15,13450.00
3,2024-07-20,10500.00
1,2024-08-10,8100.00
15,2024-08-11,9999.99
2,2024-09-05,16000.00
16,2024-09-06,7890.12
17,2024-10-20,24500.00
1,2024-10-25,5800.50
18,2024-11-11,17600.00
5,2024-11-15,4800.00
19,2025-01-05,6200.00
1,2025-02-14,9200.00
20,2025-03-01,10500.80
2,2025-04-10,17500.00
21,2025-05-22,8800.00
3,2025-06-15,12500.00
1,2025-07-07,7500.00
22,2025-08-18,19990.90
